bez,lor_ab_2021,umonat,ustunde,uwochentag,ukategorie,uart,utyp1,ulichtverh,istrad,istpkw,istfuss,istkrad,istgkfz,istsonstige,ustrzustand,xgcswgs84,ygcswgs84,all_acc,perc_bike_acc,rushhours
12,12500824.0,7,11,7,2,0,7,0,0,1,0,0,0,0,0,13.28707127,52.59250061,1,0.0,08 to 12
2,2200207.0,4,23,3,3,3,6,2,0,1,0,0,0,0,1,13.37456616,52.50320726,1,0.0,20 to 24
7,7501133.0,10,18,5,3,0,3,1,1,1,0,0,0,0,1,13.38813093,52.43755635,2,0.5,16 to 20
7,7400927.0,12,12,4,3,2,6,0,0,1,0,0,0,0,0,13.39525933,52.46703845,1,0.0,12 to 16
3,3200205.0,5,15,7,3,1,5,0,0,1,0,0,0,1,0,13.40309044,52.59463211,2,0.0,12 to 16
5,5200633.0,8,11,7,3,6,4,0,0,0,1,1,0,0,0,13.18957283,52.51453246,2,0.0,08 to 12
6,6300527.0,7,16,4,3,2,6,0,0,1,0,0,0,0,0,13.26445457,52.43546614,1,0.0,16 to 20
3,3100101.0,5,15,1,2,3,6,0,0,1,0,1,0,0,0,13.42724663,52.63389582,2,0.0,12 to 16
12,12100205.0,10,14,4,3,5,3,0,0,1,0,0,0,0,0,13.34765328,52.5744711,1,0.0,12 to 16
3,3400620.0,4,10,3,3,2,6,0,0,1,0,0,0,0,0,13.39906373,52.57318377,1,0.0,08 to 12
3,3500936.0,9,6,2,3,2,6,1,0,1,0,0,0,0,0,13.45061974,52.54806894,1,0.0,04 to 08
7,7300619.0,11,10,2,3,2,6,0,0,1,0,0,0,1,0,13.35725223,52.47380151,2,0.0,08 to 12
2,2100101.0,5,18,7,3,5,3,0,1,1,0,0,0,0,0,13.38914034,52.4980268,2,0.5,16 to 20
12,12100103.0,8,18,6,3,5,2,0,1,1,0,0,0,0,0,13.35999744,52.5719312,2,0.5,16 to 20
7,7400720.0,6,3,1,3,3,6,2,0,1,0,0,0,0,1,13.38605362,52.48320552,1,0.0,00 to 04
1,1300836.0,4,8,3,3,5,2,0,1,1,0,0,0,0,0,13.36833544,52.54111107,2,0.5,08 to 12
6,6400735.0,10,11,7,3,2,2,0,0,1,0,1,0,0,0,13.17419967,52.42024051,2,0.0,08 to 12
6,6300526.0,12,6,5,3,5,3,2,1,1,0,0,0,0,0,13.26220729,52.43495058,2,0.5,04 to 08
7,7400927.0,8,15,2,3,2,6,0,0,1,0,0,0,0,0,13.40270548,52.46395107,1,0.0,12 to 16
7,7501030.0,7,8,5,3,2,6,0,0,1,0,0,0,0,0,13.38674203,52.44202754,1,0.0,08 to 12
2,2500727.0,4,7,3,3,5,3,0,1,1,0,0,0,0,0,13.45362467,52.5184913,2,0.5,04 to 08
1,1100207.0,10,10,5,3,3,6,0,0,1,0,1,0,0,0,13.40398898,52.51271094,2,0.0,08 to 12
12,12400723.0,4,12,2,3,2,2,0,0,1,0,0,0,0,0,13.31536758,52.6130958,1,0.0,12 to 16
10,10400940.0,9,9,3,3,5,2,0,1,1,0,0,0,0,0,13.61355311,52.50476522,2,0.5,08 to 12
4,4200311.0,11,11,2,2,8,1,0,1,0,0,0,0,0,0,13.28173285,52.5099218,1,1.0,08 to 12
7,7200411.0,9,0,7,3,1,5,2,1,1,0,0,0,0,0,13.35970961,52.48966372,2,0.5,00 to 04
8,8200624.0,5,19,7,3,2,6,0,0,1,0,0,0,0,0,13.43084597,52.46192107,1,0.0,16 to 20
7,7400720.0,8,16,1,3,2,6,0,0,1,0,0,0,0,0,13.38605474,52.48331311,1,0.0,16 to 20
1,1100102.0,6,18,3,3,2,6,0,0,1,0,1,0,0,0,13.36114698,52.51526557,2,0.0,16 to 20
6,6400735.0,4,18,1,2,0,1,0,1,0,0,0,0,0,0,13.1609308,52.41965943,1,1.0,16 to 20
1,1100310.0,9,12,2,3,2,6,0,0,1,0,0,0,0,0,13.42028521,52.52524472,1,0.0,12 to 16
